id,date,split,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms,circumplex.arousal_was_missing_originally,circumplex.valence_was_missing_originally,target_next_obs_mood,target_class
AS14.01,2014-04-24,train,-0.858443951863765,-0.08201392725697301,3.2183189205936515,3.2780999337655974,16.135,,,-0.48151622042074965,0.8416589474926199,51.184,,381.386,,-0.7732069644184714,-0.014534237462953766,0.5731074441805805,0.6731345359769891,1.673448286335729,,0.1665642601029784,0.1665642601029784,7.2,7
AS14.01,2014-04-25,train,-0.3033074780129873,-0.14363419300840619,2.144949869535856,0.07664047946040015,13.045,,,-0.33655410017841597,0.20296681707658967,63.315999999999995,,216.208,,-0.4655869893272516,-0.19489310733784032,0.4111610670419501,0.16065986499059257,1.5415896821075505,1.0,0.1665642601029784,0.1665642601029784,7.6,8
AS14.01,2014-04-26,train,0.700741106125825,-0.15107122608511733,-0.14257221120949784,-0.6584668868676213,6.024,,,-0.425469750785961,1.568204273455399,372.974,3.148,220.29899999999998,,-0.15796701423603182,0.04611663507473143,0.6477388109318344,0.6731345359769891,-0.618773289227332,4.0,0.1665642601029784,0.1665642601029784,7.5,8
AS14.01,2014-04-27,train,-1.0533978426804136,-0.07412010671367357,0.24902075094253778,-0.40753205155334044,,,,3.5427043376453424,-0.858302563127569,,,49.275000000000006,,-0.15796701423603182,0.3395385096513885,0.6477388109318344,0.5450158682303903,0.015379547487408047,,0.1665642601029784,0.1665642601029784,7.6,8
AS14.01,2014-04-28,train,-1.1565214942630582,-0.08244527032887088,0.7722920272584454,-0.6379026849292624,17.169,,,-0.3218788159137575,1.6257917871042553,,,302.932,,-0.4655869893272516,-0.7735206869792675,0.2954242789421685,0.6731345359769891,0.3660523259955527,,0.1665642601029784,0.1665642601029784,7.0,7
AS14.01,2014-04-29,train,-0.3634697603335978,0.40457498370341705,0.8591275198779542,1.3810442468791349,,333.305,,-0.4479833725920318,-0.46024530461605684,41.982,,372.68499999999995,,-0.4655869893272516,0.14992491838749694,0.4374236098894821,-0.0955774705026063,0.6845859215476954,,0.1665642601029784,0.1665642601029784,7.8,8
AS14.01,2014-04-30,train,0.09750358498480856,-0.14258006808550974,0.9685581402387874,-0.20918097649335202,12.07,,,0.12265623987298828,-0.7943505283864098,181.29500000000002,,82.993,,-0.7732069644184714,-0.6183300599561911,-0.08185496212252562,0.9293718714701881,0.17927477017425522,,0.1665642601029784,0.1665642601029784,8.0,8
AS14.01,2014-05-01,train,-0.9905291877350288,0.327930408706103,3.0223806558148762,-0.10196025902007516,146.98399999999998,,28.098,-0.4324402162849625,1.0365635951252936,,,258.511,,1.0725128861288473,-0.09930636008181411,0.6477388109318344,1.185609206963387,2.7902655472345406,4.0,0.1665642601029784,0.1665642601029784,7.6,8
AS14.01,2014-05-02,train,-0.6060849243307836,-0.1415392711788797,1.900932878885552,-0.29209532299215174,92.221,,,-0.47951343878441677,-0.3954723088480078,,,11.083,,1.0725128861288473,0.019520618229419452,0.6477388109318344,0.6731345359769891,0.43093107669995795,,0.1665642601029784,0.1665642601029784,8.0,8
AS14.01,2014-05-03,train,-0.6595399061390224,-0.35693213042406297,0.6949564685004805,1.5962624800493792,19.22,,,-0.44760245137884697,-0.6736568186301596,143.631,30.102,125.605,,1.0725128861288473,-0.5623054767706086,0.6477388109318344,1.185609206963387,0.26496668067981943,1.0,0.1665642601029784,0.1665642601029784,8.0,8
AS14.02,2014-03-15,train,0.2599355916733684,0.5675511782481122,-0.08020185841090734,-0.550076137215093,,,,0.9957237334698986,-0.6985458277420951,121.66400000000002,,,,1.0725128861288473,0.20113728156033253,0.6477388109318344,-0.9497019221466021,-0.2760583829121692,,0.1665642601029784,0.1665642601029784,6.333333333333333,6
AS14.02,2014-03-16,train,0.2599355916733684,-0.06623961418664032,-0.4071738111494308,-0.7183609308203773,,,,0.9957237334698986,-0.6985458277420951,,,,,0.14965296085518798,0.3057304487044596,-0.7857488523287298,-0.9497019221466021,-0.784645281117743,1.0,0.1665642601029784,0.1665642601029784,6.75,7
AS14.02,2014-03-17,train,0.2599355916733684,0.17266386575266185,1.049662675984131,-0.6048484700581229,,,,-0.19968950098337301,-0.7799816372819306,,,,,0.14965296085518798,1.1417261060967983,-0.596303338895502,-0.4158741398691046,-0.0837704511978919,,0.1665642601029784,0.1665642601029784,8.2,8
AS14.02,2014-03-18,train,0.7507166170485229,1.2057220414831753,0.49214020391893787,-0.7385609078654706,,,,-0.2585045217036805,-0.6666475528930013,,,,,3.5334726868586057,1.3847928172481054,0.5474918949702038,1.4418465424565847,-0.25518426598053107,1.0,0.1665642601029784,0.1665642601029784,6.8,7
AS14.02,2014-03-19,train,1.668472457250306,0.7518231195110001,0.3976679770873161,-0.5447142955341431,,,,-0.19247556006975847,-0.8372136084658586,413.351,,,,0.4572729359464078,0.9713583224689539,-0.5742460479828971,-0.35181480599580517,-0.026746526625058577,1.0,0.1665642601029784,0.1665642601029784,7.25,7
AS14.02,2014-03-20,train,0.9372373426748751,0.1745661371652451,-0.07085094645916691,-0.7141385006418115,,,,-0.2999817366898519,-0.7503669194306126,,,,,1.9953728114025067,-0.18154818008250254,-0.33926045372433616,0.224719198863892,-0.3848933872130448,1.0,0.1665642601029784,0.1665642601029784,7.5,8
AS14.02,2014-03-21,train,1.4202579923506184,0.5218724315892639,0.37363202036663246,-0.5156037015206184,,,,-0.45791088627173654,-0.5259812710835766,424.44999999999993,,,,1.9953728114025067,-0.7402868723663933,0.16295014250476275,0.5450158682303903,0.29475657572563796,1.0,0.1665642601029784,0.1665642601029784,6.5,6
AS14.02,2014-03-22,train,2.9132938927470433,0.39535078480915176,0.00875315154289576,0.0808999767741212,,,,-0.437254746257794,-0.5294713920148116,725.136,,,,6.609672437770804,-1.4337803984766528,-1.6218079660447775,-0.7361708092356029,0.20254074966349703,1.0,0.1665642601029784,0.1665642601029784,6.25,6
AS14.02,2014-03-23,train,1.23001276655266,-0.06516125650689579,-0.13823695096486532,-0.2353503739130284,,,,-0.363972573482094,-0.7391129120203304,1021.0570000000001,,,,1.380132861220067,-1.2478015698396918,-0.899592592051675,-1.056467478602101,-0.09218405533172812,1.0,0.1665642601029784,0.1665642601029784,6.4,6
AS14.02,2014-03-24,train,0.14592885110455972,-0.01441786366677487,-0.5210972292024034,-0.0034148627877218216,,,,-0.28565595745584765,-0.7809342423118697,,,,,0.4572729359464078,0.2919282117685759,-1.8415592012800783,-0.8642894769822017,-0.9642240313031222,,0.1665642601029784,0.1665642601029784,7.75,8
AS14.02,2014-03-25,train,0.8559943509483794,0.3576700595480507,-0.08290894784671296,-0.5023127161455678,,,,-0.4090940656418279,-0.7329018028370928,,,,,1.0725128861288473,-1.4710567890123967,0.35677751200007485,0.8653125375968886,-0.15303766787477763,,0.1665642601029784,0.1665642601029784,7.2,7
AS14.02,2014-03-26,train,1.461546560106008,0.3773955236224816,-0.1891189918482452,0.03724294963398003,,,,-0.44217923286948296,0.14412298428052314,,,,,0.4572729359464078,-1.6873717875341674,-0.5770453323817674,0.16065986499059257,-0.24530526005655587,,0.1665642601029784,0.1665642601029784,7.25,7
AS14.02,2014-03-27,train,0.8401048004922632,0.14882731447893463,0.25486666757569487,-0.6495159795348905,,,,1.9233022307804093,-0.8329097824764057,,,59.468999999999994,,-0.15796701423603182,0.598304581050784,0.45622715933939456,0.224719198863892,-0.003178180376890265,,0.1665642601029784,0.1665642601029784,6.8,7
AS14.02,2014-03-28,train,1.152706987185188,0.031189396359371034,-0.5489566623517651,-0.42952414400246614,,,,-0.11341280970840767,-0.27616863537592334,,,,,1.380132861220067,-0.531984868934941,-0.07550753706846353,-0.35181480599580517,-0.5025720871563457,2.0,0.1665642601029784,0.1665642601029784,7.25,7
AS14.02,2014-03-29,train,2.7837227778554907,0.15506846100518737,-0.6901902613722514,-0.39878581927125,,,,-0.39941002737673614,-0.5946973675413846,330.56600000000003,,,,0.14965296085518798,-0.8352849275481478,-1.4494383713910148,0.224719198863892,-0.7183064512038672,,0.1665642601029784,0.1665642601029784,7.0,7
AS14.02,2014-03-30,train,0.9645593282726594,-0.016081442424403528,-0.8547070435804696,0.19067188011482938,,,,-0.19623764792781112,-0.5628903105841674,,,,,1.9953728114025067,-1.1134882087719522,0.1225470567179465,-0.0955774705026063,-0.4047854104422333,1.0,0.1665642601029784,0.1665642601029784,7.2,7
AS14.02,2014-03-31,train,0.1482985792196769,0.3590707128938763,0.2617259331955173,-0.28874799952616664,,,,-0.2859190679845423,-0.6057440615610379,,,,,3.2258527117673856,-0.35192932059950927,-0.5568919068175784,0.16065986499059257,-0.1104282869434156,2.0,0.1665642601029784,0.1665642601029784,7.4,7
AS14.02,2014-04-01,train,1.156164335307812,0.6286189371434063,-0.5145308980795666,-0.792632188369693,,,,0.12513026424728177,-0.7635593070432736,55.05800000000001,,,,-0.4655869893272516,-0.4494959716154873,-0.16839080266738105,0.4168972004837914,-0.5284611795021313,1.0,0.1665642601029784,0.1665642601029784,6.4,6
